time_start,time_end,model,launch_place,target,carrier,launched,destroyed,source
2023-05-04,2023-05-04 06:00,Unknown UAV,Bryansk oblast,north,,1,1,kpszsu/posts/pfbid02JYKx2fRME5rM7iZc7r5ichxUVoCVrgGv1c574cjVMbLPZonc79bAVjc36kQLW8Xrl
2023-05-04 02:30,2023-05-04 02:30,X-47 Kinzhal,,Kyiv oblast,1 x MiG-31K,1,1,kpszsu/posts/pfbid02qb6SqPoaUA9kWcbxZAjzu8hXHUvZVifWZVpn1YcEyciqwAJxpSGjC4ha7iXuAEfhl
2023-05-05,2023-05-05 08:00,Shahed-136/131,,south-east,,2,2,kpszsu/posts/pfbid02gQ9YSfn6WTrdkKfkke21bdVY2McySv9TAczEmmpsRZn9R1n6fktLY9mTDB2ZNnFzl
2023-05-06,2023-05-06 08:00,Shahed-136/131,eastern coast of the Sea of Azov,south-east,,8,8,kpszsu/posts/pfbid02qb6SqPoaUA9kWcbxZAjzu8hXHUvZVifWZVpn1YcEyciqwAJxpSGjC4ha7iXuAEfhl
2023-05-06,2023-05-06,Lancet,,front line,,1,1,kpszsu/posts/pfbid02gneSAtXsS3aGXJvgfyr7jZMALo1ma8tMJhRKzjGwVvks9wMU1aFC1f9hp1y2CX5Yl
2023-05-06,2023-05-06,Unknown UAV,,front line,,4,4,kpszsu/posts/pfbid02gneSAtXsS3aGXJvgfyr7jZMALo1ma8tMJhRKzjGwVvks9wMU1aFC1f9hp1y2CX5Yl
2023-05-08 00:00,2023-05-08 00:00,Unknown Missile,Tarkhankut,Odesa oblast,Tu-22M3,8,0,kpszsu/posts/pfbid0MEHNkhvHQVN737gV3sTKR2iK8E3LJu21yaMz9oKpMcZdqrXtJjiXsF616BTypbnDl
2023-05-08,2023-05-08 03:00,Shahed-136/131,Bryansk oblast - Seshcha,Kyiv oblast,,35,35,kpszsu/posts/pfbid0MEHNkhvHQVN737gV3sTKR2iK8E3LJu21yaMz9oKpMcZdqrXtJjiXsF616BTypbnDl
2023-05-08,2023-05-08 17:00,Lancet,,Kherson oblast,,2,2,kpszsu/posts/pfbid02A3nvC3QPKJwjUHY4ytWyCbGFgT4xvzEizFCQvVMLnPwNotcnPS8ZnKQ1Fd1S6AAjl
2023-05-08,2023-05-08 17:00,ZALA,,Kherson oblast,,1,1,kpszsu/posts/pfbid02A3nvC3QPKJwjUHY4ytWyCbGFgT4xvzEizFCQvVMLnPwNotcnPS8ZnKQ1Fd1S6AAjl
2023-05-08,2023-05-08 22:00,Kalibr,Black Sea,south-east,Navi,8,8,kpszsu/posts/pfbid0C5rD37XpUVY66TQvvh1KWM3Bz2wVmByL5uDa6dGAjvc9rQE7gHi6MWzA1uEqqSiUl
2023-05-09 04:00,2023-05-08 06:00,X-101/X-555,Caspian Sea,Ukraine,4 x Tu-95MS,17,15,kpszsu/posts/pfbid0C5rD37XpUVY66TQvvh1KWM3Bz2wVmByL5uDa6dGAjvc9rQE7gHi6MWzA1uEqqSiUl
2023-05-09,2023-05-09 23:30,Shahed-136/131,,south,,3,3,kpszsu/posts/pfbid02skMqDZQNq82rxLALdDvQWDEFf4gW3MNAndEGTrcvraA4PgSc7JeV8uCEV8mLx22Tl
2023-05-12,2023-05-12,Lancet,,,,4,4,kpszsu/posts/pfbid0EUf7C7dyUGpd13K98kXNkh5Y4gg74CZTpwT8JfiPL7JkYB2SJw88BGestv9cUSrxl
2023-05-13 00:00,2023-05-13 06:00,Shahed-136/131,,Ukraine,,21,17,kpszsu/posts/pfbid0EUf7C7dyUGpd13K98kXNkh5Y4gg74CZTpwT8JfiPL7JkYB2SJw88BGestv9cUSrxl
2023-05-13 00:00,2023-05-13 06:00,Orlan-10,,Ukraine,,1,1,kpszsu/posts/pfbid0EUf7C7dyUGpd13K98kXNkh5Y4gg74CZTpwT8JfiPL7JkYB2SJw88BGestv9cUSrxl
2023-05-14 00:00,2023-05-14 07:00,Shahed-136/131,,Ukraine,,18,18,kpszsu/posts/pfbid0ggY2Z7ZfGX3HkG9ND9FSPDshugXSVfaqnFFT8HBbAnSnLDTy2LmYZoA8g6djA4T2l
2023-05-14 00:00,2023-05-14 07:00,Lancet,,Ukraine,,1,1,kpszsu/posts/pfbid0ggY2Z7ZfGX3HkG9ND9FSPDshugXSVfaqnFFT8HBbAnSnLDTy2LmYZoA8g6djA4T2l
2023-05-14 00:00,2023-05-14 07:00,Orlan-10,,Ukraine,,2,2,kpszsu/posts/pfbid0ggY2Z7ZfGX3HkG9ND9FSPDshugXSVfaqnFFT8HBbAnSnLDTy2LmYZoA8g6djA4T2l
